Squad,Season, Fee 
Chelsea,2013-14," £130,350,000 "
Tottenham,2013-14," £122,550,000 "
Manchester City,2013-14," £115,500,000 "
Manchester Utd,2013-14," £77,130,000 "
Liverpool,2013-14," £55,900,000 "
Arsenal,2013-14," £47,500,000 "
Cardiff City,2013-14," £44,015,000 "
Southampton,2013-14," £39,600,000 "
Crystal Palace,2013-14," £33,000,000 "
Sunderland ,2013-14," £31,960,000 "
Hull City,2013-14," £30,600,000 "
Norwich City,2013-14," £28,500,000 "
Everton,2013-14," £28,300,000 "
Fulham,2013-14," £26,900,000 "
Swansea City,2013-14," £25,412,000 "
West Ham,2013-14," £23,300,000 "
Aston Villa,2013-14," £19,840,000 "
West Brom,2013-14," £12,900,000 "
Stoke City,2013-14," £6,400,000 "
Manchester Utd,2014-15," £187,750,000 "
Liverpool,2014-15," £149,430,000 "
Chelsea,2014-15," £137,700,000 "
Arsenal,2014-15," £118,980,000 "
Manchester City,2014-15," £102,800,000 "
Southampton,2014-15," £95,500,000 "
Tottenham,2014-15," £48,480,000 "
Hull City,2014-15," £48,217,000 "
Newcastle Utd,2014-15," £43,020,000 "
Swansea City,2014-15," £41,530,000 "
QPR,2014-15," £40,938,000 "
Everton,2014-15," £40,160,000 "
West Ham,2014-15," £35,150,000 "
Crystal Palace,2014-15," £31,220,000 "
West Brom,2014-15," £24,880,000 "
Leicester City,2014-15," £22,860,000 "
Sunderland ,2014-15," £21,020,000 "
Aston Villa,2014-15," £13,450,000 "
Burnley,2014-15," £12,620,000 "
Stoke City,2014-15," £1,800,000 "
Manchester City,2015-16," £208,470,000 "
Manchester Utd,2015-16," £156,000,000 "
Liverpool,2015-16," £126,500,000 "
Newcastle Utd,2015-16," £106,910,000 "
Chelsea,2015-16," £89,500,000 "
Watford,2015-16," £80,800,000 "
Tottenham,2015-16," £71,000,000 "
Aston Villa,2015-16," £66,200,000 "
Sunderland ,2015-16," £64,650,000 "
Southampton,2015-16," £58,400,000 "
Bournemouth,2015-16," £53,910,000 "
Stoke City,2015-16," £53,650,000 "
West Ham,2015-16," £51,700,000 "
Leicester City,2015-16," £49,900,000 "
Norwich City,2015-16," £48,700,000 "
Everton,2015-16," £48,200,000 "
West Brom,2015-16," £42,900,000 "
Crystal Palace,2015-16," £28,800,000 "
Arsenal,2015-16," £26,500,000 "
Swansea City,2015-16," £21,810,000 "
Manchester City,2016-17," £216,250,000 "
Manchester Utd,2016-17," £185,000,000 "
Chelsea,2016-17," £132,800,000 "
Arsenal,2016-17," £113,000,000 "
Crystal Palace,2016-17," £97,900,000 "
Leicester City,2016-17," £92,100,000 "
Everton,2016-17," £86,000,000 "
Tottenham,2016-17," £82,400,000 "
Liverpool,2016-17," £79,900,000 "
West Ham,2016-17," £70,800,000 "
Watford,2016-17," £69,700,000 "
Southampton,2016-17," £68,900,000 "
Swansea City,2016-17," £58,100,000 "
Middlesbrough,2016-17," £47,950,000 "
Burnley,2016-17," £45,600,000 "
Sunderland ,2016-17," £41,900,000 "
Stoke City,2016-17," £39,815,000 "
Bournemouth,2016-17," £38,340,000 "
West Brom,2016-17," £37,900,000 "
Hull City,2016-17," £37,700,000 "
Manchester City,2017-18," £317,500,000 "
Chelsea,2017-18," £260,500,000 "
Everton,2017-18," £203,200,000 "
Manchester Utd,2017-18," £198,400,000 "
Liverpool,2017-18," £173,650,000 "
Arsenal,2017-18," £152,850,000 "
Tottenham,2017-18," £121,000,000 "
Leicester City,2017-18," £81,345,000 "
Watford,2017-18," £71,400,000 "
Brighton,2017-18," £70,000,000 "
Swansea City,2017-18," £64,885,000 "
Southampton,2017-18," £61,250,000 "
Huddersfield,2017-18," £56,750,000 "
Crystal Palace,2017-18," £55,950,000 "
West Ham,2017-18," £53,300,000 "
West Brom,2017-18," £49,700,000 "
Stoke City,2017-18," £49,300,000 "
Newcastle Utd,2017-18," £39,300,000 "
Burnley,2017-18," £35,740,000 "
Bournemouth,2017-18," £34,300,000 "
Chelsea,2018-19," £201,000,000 "
Liverpool,2018-19," £182,200,000 "
Fulham,2018-19," £115,100,000 "
Leicester City,2018-19," £114,600,000 "
Wolves,2018-19," £113,000,000 "
West Ham,2018-19," £100,900,000 "
Bournemouth,2018-19," £91,600,000 "
