Season,Squad,Annual Wage
2022-23,Manchester Utd," £228,514,000.00 "
2022-23,Manchester City," £194,740,000.00 "
2022-23,Chelsea," £190,060,000.00 "
2022-23,Liverpool," £161,980,000.00 "
2022-23,Tottenham," £109,330,000.00 "
2022-23,Arsenal," £101,660,000.00 "
2022-23,Aston Villa," £100,620,000.00 "
2022-23,Everton," £84,812,000.00 "
2022-23,Newcastle Utd," £82,836,000.00 "
2022-23,West Ham," £82,420,000.00 "
2022-23,Leicester City," £78,780,000.00 "
2022-23,Crystal Palace," £66,820,000.00 "
2022-23,Fulham," £54,340,000.00 "
2022-23,Nott'ham Forest," £53,430,000.00 "
2022-23,Wolves," £52,182,000.00 "
2022-23,Southampton," £49,556,000.00 "
2022-23,Leeds United," £49,374,000.00 "
2022-23,Bournemouth," £38,428,000.00 "
2022-23,Brighton," £38,376,000.00 "
2022-23,Brentford," £32,136,000.00 "
2021-22,Manchester Utd," £238,850,000.00 "
2021-22,Chelsea," £175,890,000.00 "
2021-22,Manchester City," £151,552,000.00 "
2021-22,Liverpool," £144,412,000.00 "
2021-22,Arsenal," £114,370,000.00 "
2021-22,Tottenham," £110,190,000.00 "
2021-22,Everton," £92,698,000.00 "
2021-22,West Ham," £74,556,000.00 "
2021-22,Leicester City," £74,370,000.00 "
2021-22,Crystal Palace," £72,950,000.00 "
2021-22,Aston Villa," £71,490,000.00 "
2021-22,Newcastle Utd," £68,570,000.00 "
2021-22,Wolves," £57,270,000.00 "
2021-22,Southampton," £52,580,000.00 "
2021-22,Brighton," £46,470,000.00 "
2021-22,Watford," £41,380,000.00 "
2021-22,Burnley," £39,520,000.00 "
2021-22,Norwich City," £31,320,000.00 "
2021-22,Leeds United," £23,810,000.00 "
2021-22,Brentford," £21,130,000.00 "
2020-21,Manchester Utd," £193,410,000.00 "
2020-21,Chelsea," £147,811,988.00 "
2020-21,Arsenal," £147,450,000.00 "
2020-21,Manchester City," £137,678,000.00 "
2020-21,Tottenham," £134,476,000.00 "
2020-21,Liverpool," £130,920,000.00 "
2020-21,Everton," £92,073,000.00 "
2020-21,Crystal Palace," £88,735,000.00 "
2020-21,Leicester City," £77,526,000.00 "
2020-21,West Ham," £66,476,000.00 "
2020-21,Aston Villa," £62,113,024.00 "
2020-21,Newcastle Utd," £57,546,000.00 "
2020-21,Southampton," £57,184,000.00 "
2020-21,Fulham," £52,168,824.00 "
2020-21,Brighton," £51,578,900.00 "
2020-21,Wolves," £51,513,800.00 "
2020-21,West Brom," £37,088,200.00 "
2020-21,Burnley," £36,751,000.00 "
2020-21,Leeds United," £24,186,400.00 "
2020-21,Sheffield Utd," £20,087,200.00 "
2019-20,Chelsea," £157,507,000.00 "
2019-20,Manchester Utd," £151,325,000.00 "
2019-20,Manchester City," £150,611,000.00 "
2019-20,Arsenal," £135,360,000.00 "
2019-20,Liverpool," £127,460,000.00 "
2019-20,Tottenham," £91,206,000.00 "
2019-20,Everton," £85,707,000.00 "
2019-20,West Ham," £82,795,000.00 "
2019-20,Leicester City," £79,900,000.00 "
2019-20,Crystal Palace," £74,701,000.00 "
2019-20,Southampton," £72,514,500.00 "
2019-20,Bournemouth," £52,690,000.00 "
2019-20,Fulham," £50,919,000.00 "
2019-20,Newcastle Utd," £49,845,000.00 "
2019-20,Watford," £49,398,000.00 "
2019-20,Burnley," £44,263,000.00 "
2019-20,Brighton," £42,821,000.00 "
2019-20,Wolves," £37,187,000.00 "
2019-20,Huddersfield," £35,115,000.00 "
2019-20,Cardiff City," £32,990,000.00 "
2018-19,Chelsea," £157,507,000.00 "
2018-19,Manchester Utd," £151,325,000.00 "
